iter	Passed	Remaining
0	6	6371
1	10	5438
2	15	5129
3	55	13833
4	65	13054
5	72	12033
6	102	14523
7	110	13652
8	116	12817
9	119	11842
10	122	11022
11	125	10353
12	128	9786
13	132	9300
14	135	8888
15	138	8514
16	141	8183
17	144	7904
18	148	7647
19	151	7417
20	154	7203
21	157	7009
22	161	6879
23	165	6712
24	168	6569
25	171	6429
26	174	6303
27	178	6182
28	182	6107
29	185	6008
30	189	5911
31	192	5821
32	195	5740
33	199	5660
34	202	5596
35	206	5522
36	210	5472
37	214	5433
38	217	5368
39	221	5306
40	224	5248
41	227	5188
42	230	5129
43	234	5102
44	238	5068
45	242	5035
46	246	4990
47	249	4949
48	252	4910
49	256	4868
50	260	4843
51	265	4832
52	268	4798
53	272	4766
54	275	4731
55	278	4695
56	281	4665
57	285	4630
58	288	4602
59	291	4572
60	295	4542
61	298	4518
62	304	4526
63	307	4501
64	311	4474
65	314	4447
66	318	4439
67	321	4409
68	324	4380
69	327	4357
70	331	4338
71	334	4313
72	338	4293
73	341	4270
74	344	4247
75	347	4222
76	350	4198
77	354	4193
78	357	4170
79	360	4148
80	364	4129
81	367	4114
82	370	4093
83	373	4073
84	376	4054
85	380	4038
86	383	4028
87	386	4009
88	389	3990
89	392	3973
90	397	3969
91	400	3956
92	403	3938
93	406	3921
94	409	3904
95	412	3888
96	416	3872
97	419	3858
98	422	3844
99	425	3830
100	429	3820
101	432	3807
102	435	3792
103	438	3777
104	441	3763
105	444	3750
106	447	3737
107	450	3723
108	453	3710
109	456	3697
110	460	3691
111	464	3679
112	467	3666
113	470	3654
114	473	3641
115	476	3630
116	479	3620
117	482	3608
118	485	3596
119	488	3585
120	492	3576
121	495	3566
122	498	3556
123	501	3545
124	504	3534
125	507	3523
126	510	3512
127	513	3501
128	517	3491
129	520	3480
130	523	3475
131	526	3465
132	529	3454
133	533	3444
134	536	3434
135	540	3431
136	543	3422
137	546	3412
138	549	3403
139	553	3397
140	556	3388
141	559	3380
142	562	3371
143	565	3361
144	568	3354
145	572	3348
146	576	3344
147	579	3338
148	583	3331
149	587	3326
150	590	3319
151	593	3313
152	597	3305
153	600	3298
154	603	3290
155	606	3282
156	609	3274
157	613	3266
158	616	3261
159	619	3253
160	622	3245
161	625	3238
162	628	3229
163	631	3221
164	635	3213
165	638	3205
166	641	3198
167	644	3190
168	647	3185
169	651	3178
170	655	3177
171	658	3169
172	661	3162
173	664	3154
174	667	3148
175	670	3141
176	674	3134
177	677	3130
178	681	3124
179	684	3116
180	687	3109
181	690	3103
182	693	3096
183	696	3089
184	699	3082
185	702	3074
186	706	3069
187	709	3063
188	712	3055
189	714	3047
190	717	3040
191	720	3034
192	723	3027
193	727	3021
194	730	3014
195	733	3008
196	736	3001
197	739	2995
198	742	2989
199	746	2984
200	749	2978
201	752	2972
202	755	2966
203	758	2961
204	762	2956
205	766	2952
206	769	2946
207	772	2942
208	776	2937
209	779	2931
210	782	2925
211	785	2920
212	788	2915
213	792	2909
214	796	2907
215	799	2902
216	803	2900
217	807	2895
218	810	2890
219	814	2889
220	818	2885
221	821	2879
222	825	2877
223	829	2874
224	834	2874
225	839	2873
226	844	2875
227	849	2877
228	853	2872
229	857	2871
230	861	2869
231	865	2865
232	870	2864
233	874	2861
234	877	2857
235	881	2853
236	884	2848
237	888	2843
238	891	2837
239	895	2835
240	898	2830
241	902	2825
242	905	2820
243	908	2815
244	912	2810
245	915	2806
246	918	2800
247	921	2795
248	924	2789
249	928	2785
250	931	2780
251	934	2774
252	937	2769
253	941	2765
254	944	2760
255	948	2755
256	951	2751
257	954	2745
258	959	2744
259	962	2739
260	966	2735
261	970	2733
262	973	2728
263	977	2723
264	980	2719
265	983	2714
266	986	2709
267	990	2705
268	994	2701
269	997	2698
270	1002	2696
271	1005	2692
272	1010	2690
273	1015	2690
274	1023	2698
275	1029	2700
276	1033	2697
277	1036	2692
278	1039	2686
279	1042	2681
280	1046	2677
281	1049	2672
282	1053	2668
283	1056	2662
284	1059	2657
285	1062	2652
286	1065	2648
287	1069	2643
288	1072	2638
289	1075	2633
290	1079	2629
291	1082	2624
